frame_idx,timestamp,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0,1766185942.43572,0.0,0.0,0.0,0.005502734730646339,-0.3022857954307091,-0.008781678698525532,0.026714497071972074,-0.5505629955358681,-0.03468981533904498,0.04355839158358409,-0.751227237922105,-0.06166423470344457,0.03542116923644853,-0.9004008404999081,-0.0920587056163804,0.09096275962582441,-0.5280539444653669,-0.09954012202002885,0.07885343359553246,-0.7374548959295224,-0.16581797081923016,0.024289989730009048,-0.8668850684300542,-0.20744609091727534,-0.035114681471510964,-0.9715833192055807,-0.23407864701125763,0.07008140333236242,-0.40936308099868207,-0.1270379863140154,0.015614049777897017,-0.6158398833153298,-0.1930519604809779,-0.05924044159607932,-0.7746987217608152,-0.2216961901818241,-0.13019917310856474,-0.8838552292259508,-0.24614609866395576,0.024949411227891963,-0.2798649082635521,-0.15371469388956197,-0.0455963127247638,-0.4596270744484433,-0.21511497729284143,-0.12174976154532899,-0.5833788797105628,-0.23188120691483563,-0.18709228554305327,-0.6679945335945335,-0.2426545334484547,-0.03562850737507009,-0.15292015129057443,-0.1795458832106795,-0.10272874704829837,-0.2943333835371135,-0.23396479181273558,-0.16050447193471917,-0.39959343584183593,-0.25405378545437624,-0.21460874039197403,-0.4821134587740784,-0.2669568125869149,clapping
1,1766185942.436054,0.0,0.0,0.0,0.18458548380002698,-0.1641710529855427,0.045799825345830984,0.25638195008847636,-0.34753639262871217,0.05076586551962456,0.3007474359137655,-0.44208827516044985,0.03685458743778935,0.34780867473250027,-0.5408797502141116,0.019554100392387582,0.12317930259213143,-0.6147386733557841,0.039663267431706735,0.24270650134274746,-0.7668181586099276,0.0021369695268722705,0.3216284301213879,-0.8588157146762462,-0.02913652909193962,0.38439810400548824,-0.9216532989203501,-0.05285162463180916,0.0898011204014373,-0.6039417269449256,-0.014742826183383528,0.22219388880495602,-0.7875261735986728,-0.05377802945364805,0.3033454876817342,-0.8587524491286013,-0.08120183748565513,0.3714485273152697,-0.9078149614101785,-0.09908051607896948,0.07682775906862319,-0.5424854137967444,-0.07083777957833386,0.19061605190110315,-0.7518788404047917,-0.10852211825599395,0.25602958501298584,-0.8347297999410944,-0.12200012243499062,0.3103580331818249,-0.9036229381734456,-0.129590746866315,0.09230115061204225,-0.44271948914340803,-0.1243677554726286,0.16788193772828763,-0.5892343290258398,-0.15207246954343898,0.21308989641588588,-0.6708894896286826,-0.15550192270287883,0.25277469271111425,-0.7354906610756163,-0.15709541367381283,clapping
2,1766185942.522161,0.0,0.0,0.0,0.19361463045157917,-0.14652307405000817,0.027913407886303296,0.2643559379928603,-0.3357641958750218,0.030368525127413972,0.304053989242562,-0.4405893401197697,0.018163289571140998,0.3441170398039679,-0.5459963438356623,0.004036632533412004,0.12435755079525855,-0.6264276375445926,0.034759246927836454,0.2229045285930627,-0.7690149752330944,-0.0011447788424623932,0.29514262505245575,-0.8592221563686452,-0.0347452977438996,0.3526348789812776,-0.9249184667627611,-0.0595205225189127,0.09061034978025073,-0.6181029951610447,-0.007778684875279367,0.2023561370579083,-0.7972437497095125,-0.042471214430337384,0.28122710733265743,-0.8751069199308973,-0.06833862610280211,0.3482155023239784,-0.9335032440909296,-0.08554330606756855,0.07570704862120681,-0.560728733904923,-0.053641417056231024,0.1756095644933617,-0.7578726094774428,-0.08940338246406841,0.24595037767442035,-0.8457325792310665,-0.10358958031841511,0.3036032507497337,-0.9127433409652894,-0.11113392929662172,0.09053676643766029,-0.4666167732766647,-0.09892049234803807,0.16872871157191888,-0.6184540557778969,-0.12509591270921497,0.22353614596327195,-0.7012174876289727,-0.12856226149560943,0.27164733410104674,-0.7592201246983613,-0.1295749238843873,clapping
3,1766185942.635114,0.0,0.0,0.0,0.0016437712293898628,-0.2891748802165832,-0.015317469928977553,0.0251038589470763,-0.5413570680721359,-0.040111416858564494,0.04644737026993009,-0.7338053050468396,-0.06565359965527022,0.04808743545943406,-0.886355456929967,-0.09515408694947856,0.08743075488809104,-0.5201408449653631,-0.0960603918765743,0.05185491008343713,-0.7340640151388741,-0.16443149143024383,0.0012536392614016514,-0.8638230195037191,-0.2088255730633927,-0.04770614097117375,-0.970319781664786,-0.23707308034367908,0.06611860236427175,-0.3982303778388692,-0.12287287775104362,0.011578951463495208,-0.6158782606377,-0.19443083307409292,-0.06781340291209047,-0.7770573562351505,-0.22782064887105255,-0.14298272483769925,-0.8835291738969855,-0.2534615807040929,0.01930148334572587,-0.2681302752645264,-0.15006354896011898,-0.056220910149012183,-0.45017180969964243,-0.21742012900377458,-0.13861259111225147,-0.5843257497491715,-0.2389199354318162,-0.20367212130913104,-0.674899654080488,-0.2505748072604739,-0.04429572903617705,-0.1411539366940059,-0.17672590458421064,-0.10854677237794916,-0.2886510457327116,-0.23183323883500878,-0.16066552399326287,-0.39974172941233616,-0.25177693613096147,-0.2067524106142919,-0.48518918280149115,-0.26419026327626705,clapping
4,1766185942.6354408,0.0,0.0,0.0,0.17259242931761826,-0.1534037330971242,0.030153448983853318,0.23685181312946185,-0.3448938872584158,0.03370244859841335,0.2750834815111684,-0.45772387870699366,0.02380595299372656,0.3123092248162637,-0.5662233070808903,0.012197125201583793,0.10020888947234734,-0.6145943188414439,0.030337093875900528,0.20408996167302515,-0.7676014028088333,-0.0021070101403162966,0.2717125995640788,-0.8705606153934887,-0.03097326235519151,0.3222111508073608,-0.9452193257477395,-0.05234883502414212,0.07544144083842912,-0.6059710142036507,-0.010046094470635142,0.19332878814808335,-0.7952986678210995,-0.038853083279543274,0.26705372034275005,-0.8762031717434468,-0.05914783772377656,0.3269548900588492,-0.9355360653025219,-0.07359067418524023,0.06969034628510212,-0.5575162548103366,-0.05255068052542008,0.1756373788267727,-0.7506241526177423,-0.07957905204270209,0.2397578718776434,-0.8359118201203566,-0.08793552532044692,0.29052641786107747,-0.9001983782115209,-0.0937269343473715,0.08892441242808789,-0.4789113941397493,-0.09451914007368137,0.16097741133191312,-0.6269120541555495,-0.11500927172628046,0.20916614883292908,-0.705880509861727,-0.11641688151728136,0.2517328298789132,-0.762878004538357,-0.11679681488967086,clapping
5,1766185942.7198021,0.0,0.0,0.0,0.1692942817052347,-0.17454272378795352,0.03952221548835102,0.23116000365839365,-0.3685189882243337,0.04712710626906356,0.264399176437283,-0.48512708478189587,0.03957109671067793,0.29590431297975955,-0.5870536537721726,0.0304849347935226,0.11110922064440039,-0.6376269592179146,0.04775855909211934,0.21607930823823174,-0.771922412277805,0.02607271763005935,0.26866200253992834,-0.8721713237920049,0.0006586645560763108,0.29719417180048624,-0.9545733985536443,-0.021569678290794765,0.092536935644201,-0.6110062168236665,0.0038635231935126107,0.21405450088152236,-0.7753250729292461,-0.015586731781371583,0.27015899879503874,-0.8530914742063493,-0.03629504735265097,0.306376745583394,-0.9285429199761741,-0.05441811277593253,0.08868791718302761,-0.5510198387958527,-0.04080766971515879,0.19953868326174387,-0.7025793404282555,-0.05715714032433327,0.24464792122784662,-0.7510535493772875,-0.05930850300778797,0.26754377187911965,-0.8040385263804978,-0.06475208549068577,0.10227846901508127,-0.4612620489771113,-0.08506655887021597,0.1634330710243332,-0.5632769239262568,-0.09878640612242563,0.19421011169782923,-0.6239001327579768,-0.09689864237185768,0.21513940266191137,-0.6824008837282066,-0.09720388780441598,clapping
6,1766185942.81502,0.0,0.0,0.0,0.1602418515157842,-0.16117614977962874,0.029428954618040473,0.2352582195038414,-0.3435120028483188,0.03320648802389468,0.28054150551106793,-0.45632567798410145,0.02207326859380782,0.3132234736326258,-0.5669140090708198,0.00971544250837814,0.13831934535931076,-0.6310378303382015,0.04716900956109349,0.2420546616679978,-0.7576119436641562,0.0142998040563701,0.2954830129433667,-0.8571208529204318,-0.021876493864672886,0.3214373225433211,-0.9456052899753153,-0.05008675720069001,0.11067952737684462,-0.611387657505705,0.003445689411045333,0.22865900863833097,-0.755572856444926,-0.028916719459153854,0.2785263766392438,-0.8240583335000758,-0.05917901283534361,0.3019468205035371,-0.9012960267176324,-0.08119148355238918,0.09245557177993304,-0.5560188346604289,-0.043395084503315334,0.20071167367415937,-0.6755651145572795,-0.07203779601001176,0.24692315243089144,-0.6991957735988131,-0.0767418001591517,0.26647501875403157,-0.7402495611539629,-0.08016528377286974,0.0860898388741442,-0.4647605619708655,-0.09116083206614337,0.15144620118807997,-0.5563771278816368,-0.11211095777914541,0.18675137649562598,-0.5966698128391904,-0.10887769185108269,0.20809269951502352,-0.6353574430905217,-0.10598057699412526,clapping
7,1766185942.955229,0.0,0.0,0.0,-0.02227377893395778,-0.2840503439348805,-0.006404116344768576,0.004004357442962794,-0.5190678669380704,-0.029330553293884037,0.042512583823676925,-0.6970546703400292,-0.05482082624244628,0.06183159431234429,-0.8504602353125529,-0.08563682473541823,0.08821803152255621,-0.535842570526316,-0.09052147312247522,0.04412863748715611,-0.7570311448728966,-0.1627152627368993,-0.012449187720311245,-0.8795597401326816,-0.21003225734243064,-0.0730738032196366,-0.9686600559725439,-0.23739822081533357,0.0790293783645743,-0.4284950896407124,-0.12091074241180075,0.002432539331109649,-0.6545587268492524,-0.18947043932396884,-0.07652708830472515,-0.8035003838518894,-0.22199662203022608,-0.149656636639577,-0.9013844380824985,-0.24586435418553013,0.04249233808531517,-0.3018836500344526,-0.15136555034560045,-0.05112173738841364,-0.5010345995048158,-0.21746771275994856,-0.13668688383837502,-0.6206577926402472,-0.23910863903330026,-0.2056445620457366,-0.706428863209847,-0.2501613388160128,-0.01291747442200759,-0.1719797818944717,-0.18020504996416542,-0.09054726212024454,-0.3200863715244065,-0.23339771144935392,-0.1483674268481435,-0.42002363483072386,-0.2505896540513888,-0.19714246128932372,-0.5020310781066487,-0.2600145999365518,clapping
8,1766185942.955594,0.0,0.0,0.0,0.17535440393790738,-0.18408540883255584,0.020506309354692383,0.2630662545808794,-0.37662601604152113,0.027350037083936986,0.31646593052304456,-0.5130253229601662,0.020268363811319596,0.35597847937972804,-0.6544304797716849,0.015742576434730652,0.18457924847022722,-0.6424841393891986,0.06638765038133186,0.29888161321925283,-0.7579743928248568,0.03599360161297975,0.33300433419471775,-0.8566829336074316,-0.0017128711557162979,0.3247100101495597,-0.9453609521538503,-0.029258835442278346,0.15332383971585292,-0.6215291437619479,0.032003438993723474,0.274563468248707,-0.7235955328711722,0.004203501421119277,0.2989905529526408,-0.7856155837953773,-0.028125611088982948,0.2845153971511142,-0.8591678811930695,-0.05070156061328566,0.12869731386391114,-0.5530641321650216,-0.0078037850474460945,0.24531460953426745,-0.6120736665923708,-0.03271995756061099,0.27187500771966655,-0.6234642453166565,-0.03906203337493536,0.26057769615781606,-0.6581977356013136,-0.04302272589485855,0.11080123532028267,-0.4398542378030039,-0.04963965269996492,0.19551240323640834,-0.44218975818029227,-0.06759543010225051,0.21946009165237249,-0.4515478195657114,-0.06504535779852635,0.21486188225692962,-0.4746278314309816,-0.061187389281875185,clapping
9,1766185943.024975,0.0,0.0,0.0,0.04472478466057171,-0.2739527329953526,0.002424258611324346,0.07407899816413205,-0.5208305980653938,-0.007361339604318766,0.09846006978141816,-0.7035271782140256,-0.024683752404104465,0.12707798607734605,-0.8451931361147904,-0.045036914350256224,0.09193493934458705,-0.5993735481657592,-0.01826509934356964,0.07801734758118017,-0.795967171007487,-0.06809127410601647,0.03514958507331247,-0.9058976250880172,-0.10976155288507021,-0.014260787924702744,-0.9906688115898781,-0.1355431136976911,0.06440145353188294,-0.5195414774921903,-0.04515939147955228,0.030462662380653975,-0.7355234150432696,-0.07924007045859538,-0.022062495995716462,-0.8609085046593556,-0.10809427604393802,-0.07770243975044212,-0.9541767317347624,-0.13303333331353323,0.027470103939991997,-0.416243035701212,-0.07489340834575978,-0.0205858985148066,-0.6115704888794342,-0.10293439114532571,-0.06825854071633806,-0.7325926372490618,-0.11816848278300371,-0.11553728125840397,-0.8361272599130934,-0.13413727874177625,-0.020922823206592014,-0.2937904585411133,-0.10505697500497335,-0.07683737726456298,-0.4166171889034957,-0.12464711094059237,-0.11447206549027607,-0.502192324422389,-0.13039703103583386,-0.14793502557183896,-0.5863236875986614,-0.13766494698253032,clapping
